Call Id,Agent,Date,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating
CALL0000028,Becky,2022-01-01,12:54:41,Streaming,Y,N,62,0:03:57,5
CALL0000029,Dan,2022-01-01,17:26:12,Streaming,Y,Y,83,0:02:14,3
CALL0000030,Joe,2022-01-01,20:24:03,Contract related,Y,Y,65,0:05:16,4
CALL0000031,Diane,2022-01-01,12:59:35,Streaming,Y,Y,103,0:02:05,4
CALL0000032,Dan,2022-01-01,16:04:05,Payment related,N,N,70,0:00:33,2
CALL0000033,Joe,2022-01-01,19:37:26,Technical Support,Y,Y,63,0:09:44,3
CALL0000034,Dan,2022-01-01,10:23:45,Contract related,Y,Y,94,0:02:06,3
CALL0000035,Becky,2022-01-01,13:21:22,Contract related,Y,Y,69,0:05:18,3
CALL0000036,Dan,2022-01-01,12:07:46,Contract related,Y,Y,92,0:01:00,4
CALL0000037,Joe,2022-01-01,10:31:46,Contract related,Y,Y,59,0:09:43,3
CALL0000038,Dan,2022-01-01,09:22:13,Streaming,Y,Y,77,0:03:50,3
CALL0000039,Jim,2022-01-01,11:22:57,Payment related,Y,Y,26,0:03:50,3
CALL0000040,Jim,2022-01-01,10:45:12,Admin Support,Y,Y,52,0:07:12,3
CALL0000041,Joe,2022-01-01,14:47:55,Streaming,Y,Y,65,0:08:25,4
CALL0000042,Joe,2022-01-01,13:30:45,Streaming,Y,N,72,0:08:59,4
CALL0000043,Diane,2022-01-01,15:37:08,Streaming,Y,Y,45,0:07:30,5
CALL0000044,Greg,2022-01-01,15:38:46,Payment related,Y,N,29,0:01:15,4
CALL0000045,Martha,2022-01-01,16:31:34,Contract related,Y,Y,15,0:07:21,4
CALL0000046,Stewart,2022-01-01,10:15:23,Payment related,Y,Y,55,0:04:28,4
CALL0000047,Joe,2022-01-01,15:40:02,Contract related,Y,Y,95,0:05:13,3
CALL0000048,Diane,2022-01-01,14:06:00,Technical Support,Y,Y,110,0:04:20,2
CALL0000049,Becky,2022-01-01,17:15:02,Contract related,Y,Y,37,0:09:53,5
CALL0000050,Joe,2022-01-01,09:29:12,Streaming,Y,Y,79,0:08:19,5
CALL0000051,Jim,2022-01-01,19:58:08,Admin Support,Y,Y,55,0:07:12,4
CALL0000052,Dan,2022-01-01,17:35:12,Payment related,N,N,133,0:00:19,1
CALL0000053,Joe,2022-01-01,10:45:49,Contract related,Y,Y,105,0:07:34,4
CALL0000054,Greg,2022-01-01,17:51:35,Admin Support,Y,Y,49,0:05:19,1
CALL0000055,Jim,2022-01-01,13:34:21,Admin Support,Y,Y,113,0:03:28,4
CALL0000056,Stewart,2022-01-01,19:05:46,Technical Support,Y,N,83,0:07:42,5
CALL0000057,Diane,2022-01-01,09:26:26,Technical Support,Y,Y,53,0:05:15,4
CALL0000058,Jim,2022-01-01,18:48:57,Technical Support,Y,Y,76,0:04:03,4
CALL0000059,Jim,2022-01-01,09:08:39,Admin Support,Y,Y,21,0:06:45,5
CALL0000060,Martha,2022-01-01,18:49:51,Contract related,Y,Y,86,0:03:26,5
CALL0000061,Dan,2022-01-01,17:23:24,Admin Support,Y,Y,66,0:04:14,5
CALL0000062,Martha,2022-01-01,18:22:50,Contract related,Y,Y,42,0:04:52,4
CALL0000063,Stewart,2022-01-01,16:37:36,Payment related,Y,Y,41,0:07:09,4
CALL0000064,Diane,2022-01-01,15:19:55,Streaming,Y,Y,54,0:05:41,4
CALL0000065,Stewart,2022-01-01,09:55:42,Streaming,Y,Y,5,0:08:50,4
CALL0000066,Martha,2022-01-01,16:26:38,Streaming,Y,Y,46,0:09:15,4
CALL0000067,Martha,2022-01-01,10:14:24,Contract related,Y,N,73,0:02:13,4
CALL0000068,Joe,2022-01-01,09:16:06,Admin Support,Y,Y,26,0:01:56,4
CALL0000069,Stewart,2022-01-01,12:58:07,Contract related,Y,Y,62,0:05:12,4
CALL0000070,Greg,2022-01-01,17:35:03,Streaming,N,N,143,0:00:05,1
CALL0000071,Dan,2022-01-01,10:06:04,Technical Support,Y,Y,64,0:05:12,5
CALL0000072,Greg,2022-01-01,09:58:58,Contract related,Y,Y,72,0:09:51,4
CALL0000073,Joe,2022-01-01,13:14:44,Contract related,Y,N,98,0:07:42,5
CALL0000074,Becky,2022-01-01,20:27:27,Admin Support,Y,Y,88,0:07:17,4
CALL0000075,Martha,2022-01-01,10:55:31,Streaming,Y,N,81,0:04:39,3
CALL0000076,Greg,2022-01-01,15:19:06,Technical Support,Y,Y,21,0:05:10,4
CALL0000077,Becky,2022-01-01,18:35:20,Technical Support,Y,Y,89,0:07:07,3
CALL0000078,Becky,2022-01-01,09:25:12,Payment related,Y,Y,96,0:06:48,4
CALL0000079,Joe,2022-01-01,09:49:15,Streaming,Y,Y,32,0:08:25,5
CALL0000080,Greg,2022-01-01,13:08:13,Admin Support,N,N,77,0:00:35,1
CALL0000081,Becky,2022-01-01,17:43:33,Technical Support,N,N,189,0:00:29,2
CALL0000082,Joe,2022-01-01,17:13:06,Admin Support,Y,Y,50,0:09:24,5
CALL0000083,Becky,2022-01-01,18:46:08,Payment related,Y,Y,88,0:06:36,4
CALL0000084,Becky,2022-01-01,12:02:43,Streaming,Y,Y,114,0:05:49,2
CALL0000085,Diane,2022-01-02,20:06:10,Technical Support,Y,Y,53,0:08:41,3
CALL0000086,Dan,2022-01-02,10:28:16,Payment related,Y,Y,68,0:06:16,4
CALL0000087,Becky,2022-01-02,15:01:26,Streaming,Y,Y,43,0:01:40,4
CALL0000088,Becky,2022-01-02,17:40:51,Contract related,Y,Y,91,0:07:20,1
CALL0000089,Diane,2022-01-02,14:43:12,Payment related,Y,Y,49,0:07:02,5
CALL0000090,Dan,2022-01-02,11:39:29,Payment related,N,N,133,0:00:34,2
CALL0000091,Stewart,2022-01-02,18:23:41,Admin Support,Y,Y,50,0:07:15,5
CALL0000092,Joe,2022-01-02,11:59:00,Technical Support,Y,Y,48,0:06:48,3
CALL0000093,Greg,2022-01-02,08:38:04,Contract related,Y,Y,52,0:01:41,4
CALL0000094,Becky,2022-01-02,18:41:44,Admin Support,Y,Y,66,0:08:10,3
CALL0000095,Martha,2022-01-02,13:16:28,Payment related,Y,Y,53,0:08:32,4
CALL0000096,Martha,2022-01-02,14:18:05,Technical Support,Y,Y,76,0:07:14,5
CALL0000097,Dan,2022-01-02,10:38:01,Contract related,Y,Y,47,0:08:38,5
CALL0000098,Joe,2022-01-02,10:37:25,Contract related,N,N,109,0:00:05,2
CALL0000099,Martha,2022-01-02,09:39:42,Contract related,Y,Y,89,0:02:07,4
CALL0000100,Becky,2022-01-02,20:48:06,Admin Support,Y,Y,8,0:07:26,5
CALL0000101,Joe,2022-01-02,19:57:16,Technical Support,Y,N,84,0:07:48,5
CALL0000102,Dan,2022-01-02,19:37:24,Admin Support,Y,Y,84,0:06:12,5
CALL0000103,Greg,2022-01-02,15:53:05,Admin Support,Y,Y,36,0:05:12,5
CALL0000104,Joe,2022-01-02,08:42:39,Technical Support,Y,N,59,0:04:53,5
CALL0000105,Stewart,2022-01-02,17:30:31,Payment related,Y,Y,84,0:08:46,4
CALL0000106,Diane,2022-01-02,19:56:42,Contract related,Y,Y,44,0:01:28,5
CALL0000107,Greg,2022-01-02,17:25:03,Technical Support,Y,Y,78,0:02:26,1
CALL0000108,Martha,2022-01-02,09:47:15,Contract related,Y,Y,123,0:07:44,4
CALL0000109,Joe,2022-01-02,14:49:35,Admin Support,Y,N,43,0:01:53,3
CALL0000110,Stewart,2022-01-02,08:40:47,Admin Support,Y,Y,64,0:02:04,3
CALL0000111,Dan,2022-01-02,20:33:13,Admin Support,Y,Y,64,0:04:19,4
CALL0000112,Dan,2022-01-02,19:10:46,Streaming,Y,Y,79,0:03:00,4
CALL0000113,Jim,2022-01-02,14:58:01,Streaming,Y,Y,55,0:02:55,5
CALL0000114,Greg,2022-01-02,11:51:48,Technical Support,Y,Y,44,0:04:55,5
CALL0000115,Stewart,2022-01-02,11:04:04,Admin Support,Y,Y,55,0:09:00,4
CALL0000116,Joe,2022-01-02,16:05:23,Technical Support,Y,Y,73,0:05:32,4
CALL0000117,Diane,2022-01-02,09:59:41,Contract related,Y,N,128,0:03:17,5
CALL0000118,Jim,2022-01-02,15:40:22,Contract related,Y,Y,108,0:06:51,4
CALL0000119,Diane,2022-01-02,09:43:22,Admin Support,Y,Y,56,0:07:19,4
CALL0000120,Diane,2022-01-02,16:02:41,Technical Support,Y,Y,60,0:05:54,3
CALL0000121,Dan,2022-01-02,08:17:16,Streaming,Y,Y,45,0:02:15,5
CALL0000122,Becky,2022-01-02,17:06:19,Technical Support,Y,Y,39,0:06:26,4
CALL0000123,Dan,2022-01-02,17:54:43,Streaming,N,N,77,0:00:35,2
CALL0000124,Stewart,2022-01-02,16:17:43,Streaming,Y,Y,58,0:04:10,3
CALL0000125,Joe,2022-01-02,11:53:44,Technical Support,Y,Y,81,0:03:47,5
CALL0000126,Dan,2022-01-02,15:39:46,Streaming,Y,Y,79,0:08:59,4
CALL0000127,Jim,2022-01-02,11:15:04,Payment related,Y,N,32,0:01:56,2
CALL0000128,Martha,2022-01-02,17:50:33,Payment related,Y,N,88,0:03:03,3
CALL0000129,Diane,2022-01-02,14:21:15,Admin Support,Y,Y,62,0:07:05,5
CALL0000130,Jim,2022-01-02,17:18:23,Payment related,Y,Y,70,0:03:17,4
CALL0000131,Diane,2022-01-02,12:20:15,Technical Support,Y,Y,21,0:06:00,4
CALL0000132,Martha,2022-01-02,11:18:09,Streaming,Y,N,86,0:05:44,1
CALL0000133,Stewart,2022-01-02,14:22:00,Contract related,Y,Y,27,0:09:04,5
CALL0000134,Martha,2022-01-02,19:53:39,Contract related,Y,Y,13,0:01:05,4
CALL0000135,Dan,2022-01-02,16:59:04,Technical Support,Y,Y,62,0:06:33,5
CALL0000136,Stewart,2022-01-02,11:16:36,Technical Support,Y,Y,69,0:07:41,3
CALL0000137,Joe,2022-01-02,18:50:18,Payment related,Y,Y,45,0:02:51,1
CALL0000138,Joe,2022-01-02,10:01:33,Contract related,Y,Y,76,0:02:29,3
CALL0000139,Joe,2022-01-02,08:54:11,Contract related,Y,Y,35,0:08:01,4
CALL0000140,Diane,2022-01-02,13:43:31,Payment related,Y,Y,90,0:02:05,4
CALL0000141,Dan,2022-01-02,17:37:50,Admin Support,Y,Y,68,0:05:53,4
CALL0000142,Jim,2022-01-02,17:05:03,Contract related,Y,Y,59,0:07:46,5
CALL0000143,Jim,2022-01-02,10:51:11,Technical Support,N,N,168,0:00:27,1
CALL0000144,Dan,2022-01-02,10:11:15,Admin Support,Y,Y,67,0:02:06,2
CALL0000145,Stewart,2022-01-02,15:41:18,Payment related,Y,Y,40,0:09:03,4
CALL0000146,Dan,2022-01-02,19:17:32,Payment related,Y,Y,68,0:06:47,4
CALL0000147,Joe,2022-01-02,15:55:02,Streaming,Y,Y,124,0:02:11,3
CALL0000148,Joe,2022-01-02,12:59:49,Contract related,Y,Y,76,0:03:50,5
CALL0000149,Becky,2022-01-02,18:28:20,Admin Support,Y,Y,71,0:01:15,3
CALL0000150,Jim,2022-01-02,13:24:47,Payment related,Y,Y,34,0:04:20,5
CALL0000151,Greg,2022-01-02,20:10:50,Technical Support,N,N,117,0:00:35,1
CALL0000152,Becky,2022-01-02,14:09:11,Payment related,Y,N,67,0:05:16,3
CALL0000153,Diane,2022-01-02,15:41:45,Streaming,Y,Y,13,0:07:33,3
CALL0000154,Martha,2022-01-02,10:28:41,Technical Support,N,N,137,0:00:30,2
CALL0000155,Stewart,2022-01-02,10:46:40,Contract related,Y,Y,81,0:09:01,3
CALL0000156,Martha,2022-01-02,08:32:57,Contract related,Y,Y,66,0:03:11,3
CALL0000157,Martha,2022-01-02,14:54:24,Contract related,Y,Y,61,0:09:35,3
CALL0000158,Martha,2022-01-02,14:04:57,Contract related,Y,Y,5,0:01:51,4
CALL0000159,Greg,2022-01-02,17:29:28,Admin Support,Y,Y,5,0:09:25,5
CALL0000160,Stewart,2022-01-02,13:31:09,Streaming,Y,Y,86,0:04:49,4
CALL0000161,Stewart,2022-01-02,12:48:52,Technical Support,Y,Y,92,0:03:12,5
CALL0000162,Greg,2022-01-02,16:55:30,Technical Support,Y,Y,56,0:09:12,5
CALL0000163,Dan,2022-01-02,18:33:03,Payment related,Y,Y,107,0:05:47,3
CALL0000164,Joe,2022-01-02,16:54:04,Admin Support,Y,Y,131,0:01:19,3
CALL0000165,Greg,2022-01-02,20:58:37,Technical Support,Y,N,87,0:06:14,5
CALL0000166,Greg,2022-01-02,19:40:01,Payment related,Y,Y,43,0:03:33,3
CALL0000167,Diane,2022-01-02,09:26:47,Technical Support,Y,Y,75,0:03:56,2
CALL0000168,Martha,2022-01-02,17:00:12,Technical Support,Y,Y,105,0:06:15,5
CALL0000169,Jim,2022-01-02,18:10:06,Payment related,Y,Y,79,0:02:39,5
CALL0000170,Martha,2022-01-02,10:57:17,Contract related,Y,Y,52,0:04:27,4
CALL0000171,Diane,2022-01-02,13:32:49,Payment related,Y,Y,80,0:06:00,5
CALL0000172,Jim,2022-01-02,19:09:50,Contract related,Y,Y,103,0:07:28,4
CALL0000173,Joe,2022-01-02,08:26:56,Contract related,Y,Y,65,0:08:41,4
CALL0000174,Joe,2022-01-02,17:45:25,Payment related,Y,Y,102,0:07:37,3
CALL0000175,Dan,2022-01-02,11:03:17,Admin Support,Y,Y,36,0:07:23,3
CALL0000176,Stewart,2022-01-02,18:24:16,Payment related,Y,Y,103,0:07:53,5
CALL0000177,Diane,2022-01-02,16:29:58,Streaming,Y,Y,66,0:04:55,5
CALL0000178,Stewart,2022-01-02,19:41:34,Contract related,Y,N,64,0:07:37,5
CALL0000179,Martha,2022-01-02,12:32:50,Payment related,Y,Y,37,0:09:12,2
CALL0000180,Stewart,2022-01-02,17:37:58,Contract related,N,N,144,0:00:20,2
CALL0000181,Diane,2022-01-02,15:30:26,Contract related,Y,N,41,0:06:10,4
CALL0000182,Becky,2022-01-02,17:50:39,Streaming,N,N,121,0:00:45,1
CALL0000183,Stewart,2022-01-02,08:14:39,Technical Support,Y,Y,79,0:01:10,4
CALL0000184,Martha,2022-01-02,20:24:37,Technical Support,Y,Y,71,0:09:58,3
CALL0000185,Dan,2022-01-02,13:32:09,Admin Support,Y,Y,126,0:09:24,4
CALL0000186,Becky,2022-01-02,09:41:17,Technical Support,Y,Y,53,0:04:03,4
CALL0000187,Diane,2022-01-02,19:44:15,Technical Support,Y,Y,73,0:06:14,5
CALL0000188,Jim,2022-01-02,19:00:53,Contract related,Y,Y,79,0:02:26,4
CALL0000189,Becky,2022-01-02,14:56:01,Streaming,Y,Y,68,0:05:54,3
CALL0000190,Jim,2022-01-02,14:46:58,Payment related,Y,Y,72,0:07:04,4
CALL0000191,Stewart,2022-01-02,20:50:53,Admin Support,Y,Y,74,0:03:07,4
CALL0000192,Greg,2022-01-02,10:06:31,Streaming,Y,Y,41,0:06:34,4
CALL0000193,Joe,2022-01-02,19:55:37,Technical Support,Y,Y,45,0:04:36,5
CALL0000194,Dan,2022-01-02,09:19:07,Technical Support,Y,Y,74,0:04:48,2
CALL0000195,Jim,2022-01-02,16:04:10,Payment related,Y,Y,18,0:01:50,4
CALL0000196,Diane,2022-01-02,20:32:08,Admin Support,Y,Y,34,0:08:41,3
CALL0000197,Dan,2022-01-02,19:44:06,Streaming,Y,Y,69,0:06:58,3
CALL0000198,Dan,2022-01-02,20:35:25,Contract related,Y,Y,98,0:04:20,4
CALL0000199,Diane,2022-01-02,11:00:00,Technical Support,Y,Y,71,0:05:56,5
CALL0000200,Diane,2022-01-02,12:35:07,Admin Support,Y,Y,66,0:07:14,4
CALL0000201,Greg,2022-01-02,20:16:59,Payment related,Y,N,71,0:01:31,4
CALL0000202,Martha,2022-01-02,17:31:58,Payment related,Y,Y,46,0:01:04,3
CALL0000203,Dan,2022-01-02,19:28:17,Admin Support,Y,Y,27,0:02:09,4
CALL0000204,Diane,2022-01-02,14:04:22,Payment related,Y,Y,51,0:05:19,5
CALL0000205,Martha,2022-01-02,17:33:36,Admin Support,N,N,59,0:00:22,2
CALL0000206,Martha,2022-01-02,08:15:59,Admin Support,Y,Y,75,0:08:43,4
CALL0000207,Becky,2022-01-02,20:59:48,Admin Support,Y,N,39,0:03:28,2
CALL0000208,Jim,2022-01-02,12:52:29,Contract related,Y,Y,82,0:02:15,3
CALL0000209,Diane,2022-01-02,08:12:40,Admin Support,Y,Y,42,0:09:44,4
CALL0000210,Becky,2022-01-02,13:42:34,Technical Support,Y,Y,75,0:06:33,4
CALL0000211,Martha,2022-01-02,08:06:06,Streaming,Y,Y,78,0:06:52,2
CALL0000212,Martha,2022-01-03,15:45:44,Contract related,Y,Y,37,0:05:53,4
CALL0000213,Dan,2022-01-03,09:01:08,Payment related,Y,Y,48,0:07:18,4
CALL0000214,Diane,2022-01-03,08:09:31,Admin Support,N,N,174,0:00:21,2
CALL0000215,Martha,2022-01-03,13:18:54,Admin Support,Y,Y,38,0:07:26,1
CALL0000216,Martha,2022-01-03,10:43:40,Technical Support,Y,Y,84,0:04:05,4
CALL0000217,Dan,2022-01-03,13:46:42,Streaming,Y,Y,55,0:07:42,5
CALL0000218,Joe,2022-01-03,14:26:40,Admin Support,Y,Y,118,0:06:12,4
CALL0000219,Joe,2022-01-03,18:19:19,Payment related,Y,N,32,0:03:32,5
CALL0000220,Martha,2022-01-03,13:01:23,Payment related,Y,Y,54,0:05:12,4
CALL0000221,Joe,2022-01-03,12:16:44,Admin Support,Y,Y,67,0:04:30,4
CALL0000222,Diane,2022-01-03,08:21:14,Streaming,Y,N,116,0:07:25,3
CALL0000223,Joe,2022-01-03,20:34:53,Admin Support,Y,Y,107,0:02:47,4
CALL0000224,Dan,2022-01-03,11:52:42,Streaming,Y,N,64,0:06:06,4
CALL0000225,Stewart,2022-01-03,11:30:22,Payment related,Y,Y,54,0:06:35,4
CALL0000226,Dan,2022-01-03,14:39:23,Contract related,Y,Y,55,0:01:27,4
CALL0000227,Joe,2022-01-03,12:14:01,Admin Support,Y,Y,63,0:04:34,4
CALL0000228,Becky,2022-01-03,16:43:10,Technical Support,Y,Y,40,0:08:16,4
CALL0000229,Stewart,2022-01-03,18:43:37,Technical Support,Y,Y,78,0:03:35,4
CALL0000230,Stewart,2022-01-03,13:37:52,Contract related,Y,N,30,0:03:57,5
CALL0000231,Diane,2022-01-03,20:47:29,Technical Support,Y,Y,11,0:02:54,4
CALL0000232,Stewart,2022-01-03,16:03:54,Streaming,Y,N,92,0:02:53,3
CALL0000233,Diane,2022-01-03,09:15:11,Payment related,Y,Y,90,0:03:54,3
CALL0000234,Joe,2022-01-03,12:36:29,Admin Support,Y,Y,31,0:03:15,3
CALL0000235,Stewart,2022-01-03,12:06:43,Technical Support,Y,Y,93,0:04:34,5
CALL0000236,Joe,2022-01-03,12:39:29,Payment related,Y,N,20,0:02:38,3
CALL0000237,Martha,2022-01-03,11:12:32,Contract related,Y,Y,26,0:08:43,5
CALL0000238,Dan,2022-01-03,20:06:28,Streaming,Y,Y,71,0:01:34,5
CALL0000239,Joe,2022-01-03,20:56:24,Contract related,Y,Y,119,0:03:49,4
CALL0000240,Martha,2022-01-03,19:17:19,Contract related,Y,Y,57,0:01:04,4
CALL0000241,Dan,2022-01-03,09:38:12,Streaming,Y,Y,86,0:08:55,4
CALL0000242,Martha,2022-01-03,12:59:11,Payment related,Y,N,61,0:09:59,5
CALL0000243,Martha,2022-01-03,09:34:56,Technical Support,Y,Y,29,0:04:56,5
CALL0000244,Stewart,2022-01-03,11:19:47,Contract related,Y,Y,51,0:04:37,3
CALL0000245,Greg,2022-01-03,11:46:19,Contract related,Y,Y,61,0:08:35,5
CALL0000246,Stewart,2022-01-03,15:56:56,Streaming,Y,Y,85,0:08:24,1
CALL0000247,Jim,2022-01-03,20:00:08,Contract related,Y,Y,35,0:09:22,4
CALL0000248,Greg,2022-01-03,16:38:55,Payment related,Y,N,59,0:08:27,3
CALL0000249,Martha,2022-01-03,17:39:22,Streaming,Y,Y,116,0:07:44,4
CALL0000250,Jim,2022-01-03,15:50:08,Technical Support,Y,Y,76,0:07:43,5
CALL0000251,Jim,2022-01-03,20:28:59,Technical Support,Y,Y,103,0:06:13,4
CALL0000252,Martha,2022-01-03,09:50:57,Payment related,Y,Y,53,0:08:46,4
CALL0000253,Joe,2022-01-03,14:40:18,Streaming,Y,Y,41,0:06:06,3
CALL0000254,Stewart,2022-01-03,17:28:49,Streaming,Y,Y,62,0:06:01,3
CALL0000255,Greg,2022-01-03,10:56:23,Admin Support,Y,Y,68,0:05:14,4
CALL0000256,Martha,2022-01-03,08:30:23,Contract related,N,N,123,0:00:29,1
CALL0000257,Diane,2022-01-03,14:45:43,Admin Support,Y,Y,31,0:06:18,4
CALL0000258,Becky,2022-01-03,12:11:23,Admin Support,Y,Y,54,0:02:09,4
CALL0000259,Stewart,2022-01-03,12:34:35,Streaming,Y,Y,61,0:03:09,5
CALL0000260,Jim,2022-01-03,17:55:11,Streaming,Y,Y,70,0:01:42,5
CALL0000261,Martha,2022-01-03,10:04:23,Payment related,Y,N,68,0:09:24,5
CALL0000262,Joe,2022-01-03,15:33:30,Streaming,Y,Y,46,0:02:20,2
CALL0000263,Jim,2022-01-03,11:21:43,Payment related,Y,Y,38,0:01:30,5
CALL0000264,Dan,2022-01-03,13:50:43,Admin Support,Y,Y,41,0:06:43,3
CALL0000265,Stewart,2022-01-03,18:34:02,Streaming,Y,Y,73,0:02:39,4
CALL0000266,Becky,2022-01-03,11:27:05,Streaming,Y,Y,110,0:08:58,4
CALL0000267,Dan,2022-01-03,11:59:54,Contract related,Y,Y,66,0:08:45,5
CALL0000268,Joe,2022-01-03,14:20:38,Contract related,Y,Y,64,0:09:21,3
CALL0000269,Greg,2022-01-03,20:37:50,Payment related,Y,Y,69,0:08:39,5
CALL0000270,Jim,2022-01-03,20:13:59,Streaming,Y,Y,57,0:07:49,4
CALL0000271,Stewart,2022-01-03,20:21:38,Payment related,Y,N,73,0:06:07,3
CALL0000272,Becky,2022-01-03,11:45:03,Technical Support,Y,Y,36,0:02:04,5
CALL0000273,Diane,2022-01-03,11:24:42,Streaming,Y,N,72,0:01:06,4
CALL0000274,Greg,2022-01-03,08:30:30,Contract related,Y,Y,31,0:09:48,4
CALL0000275,Becky,2022-01-03,20:47:57,Payment related,Y,Y,69,0:02:44,4
CALL0000276,Joe,2022-01-03,16:00:34,Contract related,Y,Y,44,0:03:55,3
CALL0000277,Dan,2022-01-03,08:14:07,Contract related,Y,Y,89,0:05:25,4
CALL0000278,Diane,2022-01-03,19:08:16,Payment related,Y,Y,50,0:03:57,4
CALL0000279,Becky,2022-01-03,19:59:23,Payment related,Y,Y,79,0:02:36,2
CALL0000280,Greg,2022-01-03,11:08:08,Payment related,Y,Y,93,0:03:51,4
CALL0000281,Stewart,2022-01-03,13:01:01,Contract related,N,N,72,0:00:21,1
CALL0000282,Jim,2022-01-03,17:51:10,Technical Support,Y,Y,66,0:03:37,4
CALL0000283,Becky,2022-01-03,12:12:51,Streaming,Y,Y,17,0:09:00,4
CALL0000284,Stewart,2022-01-03,19:47:25,Technical Support,Y,Y,54,0:07:24,4
CALL0000285,Dan,2022-01-03,16:36:25,Technical Support,Y,Y,91,0:07:41,5
CALL0000286,Dan,2022-01-03,19:59:33,Payment related,Y,Y,60,0:04:38,4
CALL0000287,Becky,2022-01-03,10:05:53,Streaming,Y,Y,63,0:01:18,3
CALL0000288,Greg,2022-01-03,18:48:31,Payment related,Y,Y,98,0:02:40,5
CALL0000289,Dan,2022-01-03,17:19:34,Technical Support,Y,Y,62,0:07:54,4
CALL0000290,Martha,2022-01-03,20:43:30,Payment related,Y,Y,73,0:02:48,4
CALL0000291,Joe,2022-01-03,19:06:05,Contract related,Y,Y,81,0:02:49,4
CALL0000292,Martha,2022-01-03,14:56:35,Streaming,Y,Y,39,0:04:19,5
CALL0000293,Dan,2022-01-03,09:31:15,Payment related,Y,Y,63,0:06:09,5
CALL0000294,Jim,2022-01-03,14:08:32,Payment related,Y,Y,79,0:07:30,4
CALL0000295,Dan,2022-01-03,08:33:52,Payment related,Y,Y,58,0:02:56,1
CALL0000296,Jim,2022-01-03,10:05:07,Payment related,Y,Y,64,0:06:27,4
CALL0000297,Joe,2022-01-03,13:47:22,Streaming,Y,Y,76,0:01:54,5
CALL0000298,Jim,2022-01-03,19:56:45,Contract related,Y,Y,28,0:03:49,1
CALL0000299,Stewart,2022-01-03,20:13:36,Contract related,N,N,96,0:00:08,2
CALL0000300,Stewart,2022-01-03,11:23:26,Admin Support,Y,Y,33,0:07:13,5
CALL0000301,Dan,2022-01-03,14:26:59,Admin Support,N,N,145,0:00:12,2
CALL0000302,Becky,2022-01-03,13:42:39,Technical Support,Y,Y,98,0:03:58,3
CALL0000303,Diane,2022-01-03,13:35:23,Admin Support,N,N,112,0:00:15,2
CALL0000304,Greg,2022-01-03,13:00:29,Contract related,Y,N,83,0:05:48,4
CALL0000305,Dan,2022-01-03,20:49:43,Payment related,Y,N,73,0:09:38,3
CALL0000306,Dan,2022-01-03,11:33:32,Technical Support,N,N,152,0:00:35,1
